country,firm,sector,revenue,year,risk
China,Agricultural Bank of China,Financial Service,221.35,2014,-0.9540182563908016
China,Agricultural Bank of China,Financial Service,221.35,2015,-0.8092598590638157
China,Agricultural Bank of China,Financial Service,221.35,2016,-0.6597275655211006
China,Agricultural Bank of China,Financial Service,221.35,2017,-0.845148067175261
China,Agricultural Bank of China,Financial Service,221.35,2018,-1.0600955247775325
China,Agricultural Bank of China,Financial Service,221.35,2019,-1.0203302988440923
China,Agricultural Bank of China,Financial Service,221.35,2020,-0.9639861111145058
China,Agricultural Bank of China,Financial Service,221.35,2021,-0.5562958369988642
China,Agricultural Bank of China,Financial Service,221.35,2022,-0.9486488493278252
China,Agricultural Bank of China,Financial Service,221.35,2023,-0.9973460432326101
China,BYD,Industries,98.15,2014,0.0841635493591852
China,BYD,Industries,98.15,2015,-0.13910305249312352
China,BYD,Industries,98.15,2016,-0.1838235332687764
China,BYD,Industries,98.15,2017,0.24514087306949206
China,BYD,Industries,98.15,2018,-0.05275131282748173
China,BYD,Industries,98.15,2019,0.18809964493566406
China,BYD,Industries,98.15,2020,0.18668197869117364
China,BYD,Industries,98.15,2021,-0.38155701811088205
China,BYD,Industries,98.15,2022,0.3234626633536831
China,BYD,Industries,98.15,2023,0.08607275516369149
China,Bank of China,Financial Service,175.5,2015,-1.0358299721133843
China,Bank of China,Financial Service,175.5,2016,-1.038884360484377
China,Bank of China,Financial Service,175.5,2018,-1.0675737022861342
China,Bank of China,Financial Service,175.5,2021,-1.1740734723900499
China,Bank of China,Financial Service,175.5,2023,-0.9791008942134677
China,CM Bank,Financial Service,108.68,2015,-0.9050876246258739
China,CM Bank,Financial Service,108.68,2016,-1.0593229884831672
China,CM Bank,Financial Service,108.68,2017,-0.8028590312095583
China,CM Bank,Financial Service,108.68,2018,-0.8677152126916614
China,CM Bank,Financial Service,108.68,2019,-0.9563703832745213
China,CM Bank,Financial Service,108.68,2020,-0.8636582248132801
China,CM Bank,Financial Service,108.68,2021,-0.4498402141998999
China,CM Bank,Financial Service,108.68,2023,-0.949186165026695
China,CNOOC,Energy,124.7,2014,-0.7753454587962735
China,CNOOC,Energy,124.7,2015,-0.8958378724449444
China,CNOOC,Energy,124.7,2017,-0.8355090285605549
China,CNOOC,Energy,124.7,2018,-0.8950888733877904
China,CNOOC,Energy,124.7,2019,-1.0497678282144471
China,CNOOC,Energy,124.7,2020,-0.9686157887597704
China,CNOOC,Energy,124.7,2022,-0.8841587935367353
China,CNOOC,Energy,124.7,2023,-0.8950888733877904
China,China Construction Bank,Financial Service,178.16,2015,-1.1012325385732438
China,China Construction Bank,Financial Service,178.16,2016,-1.1337654325836344
China,China Construction Bank,Financial Service,178.16,2018,-1.015264722025025
China,China Construction Bank,Financial Service,178.16,2021,-0.8183104829191469
China,China Construction Bank,Financial Service,178.16,2023,-0.9903071193224747
China,China Iife Insurance,Financial Service,111.24,2014,-0.4852096462625413
China,China Iife Insurance,Financial Service,111.24,2015,-0.8771460626700633
China,China Iife Insurance,Financial Service,111.24,2016,-1.0162571585548783
China,China Iife Insurance,Financial Service,111.24,2017,-0.6537532925533637
China,China Iife Insurance,Financial Service,111.24,2018,-0.9599097910803286
China,China Iife Insurance,Financial Service,111.24,2019,-0.7267166156142646
China,China Iife Insurance,Financial Service,111.24,2020,-0.7377430830676766
China,China Iife Insurance,Financial Service,111.24,2021,-0.9053199042132759
China,China Iife Insurance,Financial Service,111.24,2022,-0.41480586837076877
China,China Iife Insurance,Financial Service,111.24,2023,-0.8348942167025428
China,China Mobile,Communication Services,206.74,2014,-0.8610820455110203
China,China Mobile,Communication Services,206.74,2015,-1.0652708747275474
China,China Mobile,Communication Services,206.74,2016,-1.1246363580864647
China,China Mobile,Communication Services,206.74,2017,-1.091030475126605
China,China Mobile,Communication Services,206.74,2018,-1.098172784837324
China,China Mobile,Communication Services,206.74,2019,-0.8872159072903766
China,China Mobile,Communication Services,206.74,2020,-0.8084258801742181
China,China Mobile,Communication Services,206.74,2021,-0.9248566255449736
China,China Mobile,Communication Services,206.74,2023,-1.073222378869229
China,China Shenhua Energy,Energy,103.81,2015,-1.1700707452861063
China,China Shenhua Energy,Energy,103.81,2016,-1.2092208495843608
China,China Shenhua Energy,Energy,103.81,2018,-1.149058232050113
China,China Shenhua Energy,Energy,103.81,2021,0.23132809302687055
China,China Shenhua Energy,Energy,103.81,2023,-1.1989315034619747
China,China Yangtze Power,Energy,100.53,2020,0.6994359016424507
China,China Yangtze Power,Energy,100.53,2021,0.8273883176020658
China,China Yangtze Power,Energy,100.53,2022,1.0367071831134673
China,China Yangtze Power,Energy,100.53,2023,1.386766886734889
China,ICBC,Financial Service,267.08,2014,-0.9661710207609641
China,ICBC,Financial Service,267.08,2015,-0.9891772226842612
China,ICBC,Financial Service,267.08,2016,-1.0143183620072316
China,ICBC,Financial Service,267.08,2017,-0.9882492597110432
China,ICBC,Financial Service,267.08,2018,-0.9117570262747835
China,ICBC,Financial Service,267.08,2019,-1.0302798782692288
China,ICBC,Financial Service,267.08,2020,-1.0023170102943975
China,ICBC,Financial Service,267.08,2021,-1.1254622462681967
China,ICBC,Financial Service,267.08,2022,-0.9265078282574422
China,ICBC,Financial Service,267.08,2023,-0.9837815657238531
China,Meituan,Information Technology,93.17,2018,-0.16308502717476306
China,Meituan,Information Technology,93.17,2019,-0.35700558514465586
China,Meituan,Information Technology,93.17,2020,-0.26603164367156873
China,Meituan,Information Technology,93.17,2021,-0.2146470513133524
China,Meituan,Information Technology,93.17,2022,-0.23747867130994094
China,Meituan,Information Technology,93.17,2023,-0.046849836533344874
China,PetroChina,Energy,218.98,2016,1.2871675313244377
China,Pinduoduo,Information Technology,176.94,2018,-0.00411152863023441
China,Pinduoduo,Information Technology,176.94,2019,-0.19206898844726827
China,Pinduoduo,Information Technology,176.94,2020,0.3697907347062581
China,Pinduoduo,Information Technology,176.94,2021,1.2356041019499187
China,Pinduoduo,Information Technology,176.94,2022,0.44110751032990964
China,Pinduoduo,Information Technology,176.94,2023,0.6737108173929366
China,PingAn Insurance,Financial Service,100.07,2014,-0.8542918008764413
China,PingAn Insurance,Financial Service,100.07,2015,-0.6622089268100254
China,PingAn Insurance,Financial Service,100.07,2016,-0.8908349711522002
China,PingAn Insurance,Financial Service,100.07,2017,-0.8372671461432573
China,PingAn Insurance,Financial Service,100.07,2018,-0.8396520170623326
China,PingAn Insurance,Financial Service,100.07,2019,-0.7225772344259216
China,PingAn Insurance,Financial Service,100.07,2020,-0.8055810824382886
China,PingAn Insurance,Financial Service,100.07,2021,-0.9223094212201443
China,PingAn Insurance,Financial Service,100.07,2022,-0.8065708030904283
China,PingAn Insurance,Financial Service,100.07,2023,-0.8460965185752203
China,Sinopec,Energy,104.55,2014,-0.8449188073552693
China,Sinopec,Energy,104.55,2016,-0.8254134128012945
China,Sinopec,Energy,104.55,2018,-0.783873576974449
China,Sinopec,Energy,104.55,2019,-0.799382753790865
China,Sinopec,Energy,104.55,2020,-0.7959667654924251
China,Sinopec,Energy,104.55,2022,-0.8152170067805334
