country,firm,sector,revenue,year,risk
China,Agricultural Bank of China,Financial Service,221.35,2014,0.16666702328983282
China,Agricultural Bank of China,Financial Service,221.35,2015,0.41884583295851247
China,Agricultural Bank of China,Financial Service,221.35,2016,0.7921826199202006
China,Agricultural Bank of China,Financial Service,221.35,2017,0.26240470102735436
China,Agricultural Bank of China,Financial Service,221.35,2018,0.25632237568949584
China,Agricultural Bank of China,Financial Service,221.35,2019,0.2542001328584564
China,Agricultural Bank of China,Financial Service,221.35,2020,0.35856068660591023
China,Agricultural Bank of China,Financial Service,221.35,2021,-0.5562958369988642
China,Agricultural Bank of China,Financial Service,221.35,2022,0.3384633626075597
China,Agricultural Bank of China,Financial Service,221.35,2023,0.2184568608566796
China,BYD,Industries,98.15,2014,0.20938504567956182
China,BYD,Industries,98.15,2015,0.04387174589726506
China,BYD,Industries,98.15,2016,-0.1838235332687764
China,BYD,Industries,98.15,2017,0.16827129211561664
China,BYD,Industries,98.15,2018,-0.3213957471965946
China,BYD,Industries,98.15,2019,0.5077327468330746
China,BYD,Industries,98.15,2020,0.3201751058296455
China,BYD,Industries,98.15,2021,-0.38155701811088205
China,BYD,Industries,98.15,2022,0.38819175234651665
China,BYD,Industries,98.15,2023,0.550684371602556
China,Bank of China,Financial Service,175.5,2015,-0.25960073564287156
China,Bank of China,Financial Service,175.5,2016,-0.14742537824051527
China,Bank of China,Financial Service,175.5,2018,-0.28088841136460546
China,Bank of China,Financial Service,175.5,2021,-1.1740734723900499
China,Bank of China,Financial Service,175.5,2023,-0.19843233265467136
China,CM Bank,Financial Service,108.68,2015,-0.0365008039402612
China,CM Bank,Financial Service,108.68,2016,-0.2158308645412879
China,CM Bank,Financial Service,108.68,2017,-0.20524627625790076
China,CM Bank,Financial Service,108.68,2018,-0.19224840619301714
China,CM Bank,Financial Service,108.68,2019,-0.2488801439908812
China,CM Bank,Financial Service,108.68,2020,-0.1644807591301637
China,CM Bank,Financial Service,108.68,2021,0.15975690617885166
China,CM Bank,Financial Service,108.68,2023,-0.27387371453508236
China,CNOOC,Energy,124.7,2014,-0.7753454587962735
China,CNOOC,Energy,124.7,2015,-0.8958378724449444
China,CNOOC,Energy,124.7,2017,-0.8355090285605549
China,CNOOC,Energy,124.7,2018,-0.8950888733877904
China,CNOOC,Energy,124.7,2019,-1.0497678282144471
China,CNOOC,Energy,124.7,2020,-0.9686157887597704
China,CNOOC,Energy,124.7,2022,-0.8841587935367353
China,CNOOC,Energy,124.7,2023,-0.8950888733877904
China,China Construction Bank,Financial Service,178.16,2015,0.12333105644554537
China,China Construction Bank,Financial Service,178.16,2016,0.711954627229363
China,China Construction Bank,Financial Service,178.16,2018,0.0236680015526774
China,China Construction Bank,Financial Service,178.16,2021,0.19972863011692105
China,China Construction Bank,Financial Service,178.16,2023,-0.061230249247893484
China,China Iife Insurance,Financial Service,111.24,2014,0.13051486452031785
China,China Iife Insurance,Financial Service,111.24,2015,0.6652148635830246
China,China Iife Insurance,Financial Service,111.24,2016,-0.45724495002620824
China,China Iife Insurance,Financial Service,111.24,2017,-0.3664593563579758
China,China Iife Insurance,Financial Service,111.24,2018,-0.031132524163602723
China,China Iife Insurance,Financial Service,111.24,2019,-0.3239954022429597
China,China Iife Insurance,Financial Service,111.24,2020,-0.13714712551418776
China,China Iife Insurance,Financial Service,111.24,2021,0.11206677206210718
China,China Iife Insurance,Financial Service,111.24,2022,0.093075497839367
China,China Iife Insurance,Financial Service,111.24,2023,-0.16365145765945388
China,China Mobile,Communication Services,206.74,2014,-0.16787381775509452
China,China Mobile,Communication Services,206.74,2015,0.016452602261714855
China,China Mobile,Communication Services,206.74,2016,-0.2375737807025982
China,China Mobile,Communication Services,206.74,2017,-0.023608244607218148
China,China Mobile,Communication Services,206.74,2018,-0.47665955434863316
China,China Mobile,Communication Services,206.74,2019,-0.26812926989684965
China,China Mobile,Communication Services,206.74,2020,-0.22657167498288594
China,China Mobile,Communication Services,206.74,2021,0.07830000847267495
China,China Mobile,Communication Services,206.74,2023,-0.5263483168405182
China,China Shenhua Energy,Energy,103.81,2015,-0.15667514159513818
China,China Shenhua Energy,Energy,103.81,2016,-0.16874290206759796
China,China Shenhua Energy,Energy,103.81,2018,-0.13225368407628246
China,China Shenhua Energy,Energy,103.81,2021,0.23132809302687055
China,China Shenhua Energy,Energy,103.81,2023,-0.16872737613027433
China,China Yangtze Power,Energy,100.53,2020,0.6994359016424507
China,China Yangtze Power,Energy,100.53,2021,1.2424310154100162
China,China Yangtze Power,Energy,100.53,2022,1.0367071831134673
China,China Yangtze Power,Energy,100.53,2023,1.3086758646651022
China,ICBC,Financial Service,267.08,2014,0.17215392064546947
China,ICBC,Financial Service,267.08,2015,-0.04619406889991362
China,ICBC,Financial Service,267.08,2016,0.22849288559527736
China,ICBC,Financial Service,267.08,2017,0.20596492651313153
China,ICBC,Financial Service,267.08,2018,0.11763812224742935
China,ICBC,Financial Service,267.08,2019,-0.011508582490944344
China,ICBC,Financial Service,267.08,2020,-0.08090712931835536
China,ICBC,Financial Service,267.08,2021,-0.31621844195839227
China,ICBC,Financial Service,267.08,2022,0.28748566801076897
China,ICBC,Financial Service,267.08,2023,0.04873629816878499
China,Meituan,Information Technology,93.17,2018,0.9740921583224387
China,Meituan,Information Technology,93.17,2019,0.3695271012813731
China,Meituan,Information Technology,93.17,2020,0.6563254988270891
China,Meituan,Information Technology,93.17,2021,0.3569523047036932
China,Meituan,Information Technology,93.17,2022,0.6807915332532868
China,Meituan,Information Technology,93.17,2023,0.7308670138409074
China,PetroChina,Energy,218.98,2016,1.2871675313244377
China,Pinduoduo,Information Technology,176.94,2018,0.15472174205634415
China,Pinduoduo,Information Technology,176.94,2019,0.43617301156711286
China,Pinduoduo,Information Technology,176.94,2020,0.6592579748333045
China,Pinduoduo,Information Technology,176.94,2021,1.1686034616331242
China,Pinduoduo,Information Technology,176.94,2022,0.506199332773302
China,Pinduoduo,Information Technology,176.94,2023,1.2472209491021211
China,PingAn Insurance,Financial Service,100.07,2014,0.0033865415038090638
China,PingAn Insurance,Financial Service,100.07,2015,0.13600033348474622
China,PingAn Insurance,Financial Service,100.07,2016,-0.1430998742718345
China,PingAn Insurance,Financial Service,100.07,2017,-0.3325638570013168
China,PingAn Insurance,Financial Service,100.07,2018,-0.00537115818845274
China,PingAn Insurance,Financial Service,100.07,2019,0.162491513192705
China,PingAn Insurance,Financial Service,100.07,2020,0.01594657995445923
China,PingAn Insurance,Financial Service,100.07,2021,-0.13035002310531715
China,PingAn Insurance,Financial Service,100.07,2022,0.07983612972285614
China,PingAn Insurance,Financial Service,100.07,2023,0.583764405652625
China,Sinopec,Energy,104.55,2014,-0.8449188073552693
China,Sinopec,Energy,104.55,2016,1.211514114613418
China,Sinopec,Energy,104.55,2018,1.276279132160516
China,Sinopec,Energy,104.55,2019,-0.799382753790865
China,Sinopec,Energy,104.55,2020,1.2563338613533064
China,Sinopec,Energy,104.55,2022,1.2266672452641956
China,Sinopec,Energy,104.55,2023,1.2207117530698814
China,Tencent,Information Technology,428.32,2014,-0.15777842535746664
China,Tencent,Information Technology,428.32,2015,0.4170931520956546
China,Tencent,Information Technology,428.32,2016,-0.2221020607596177
China,Tencent,Information Technology,428.32,2017,0.1517609446663343
China,Tencent,Information Technology,428.32,2018,-0.20558769720747785
China,Tencent,Information Technology,428.32,2019,0.06688624220697352
China,Tencent,Information Technology,428.32,2020,0.050319867105918924
China,Tencent,Information Technology,428.32,2021,0.28044523689357137
China,Tencent,Information Technology,428.32,2022,0.2540799468301175
China,Tencent,Information Technology,428.32,2023,0.25240916784298767
Germany,Adidas,Consumer Discretionary,244.57,2014,0.9394974147686265
Germany,Adidas,Consumer Discretionary,244.57,2015,0.8651362674088774
Germany,Adidas,Consumer Discretionary,244.57,2017,1.0151686201949588
Germany,Adidas,Consumer Discretionary,244.57,2019,0.9835245628360263
Germany,Adidas,Consumer Discretionary,244.57,2020,0.9662035783505685
Germany,Adidas,Consumer Discretionary,244.57,2022,0.6697369095829377
Germany,Adidas,Consumer Discretionary,244.57,2023,0.4249888336919151
Germany,Allianz,Financial Service,106.68,2014,0.49302094422744974
Germany,Allianz,Financial Service,106.68,2015,0.4589096290961099
Germany,Allianz,Financial Service,106.68,2016,1.3119384326507855
Germany,Allianz,Financial Service,106.68,2017,0.6921264966597666
Germany,Allianz,Financial Service,106.68,2018,1.3473463531405887
Germany,Allianz,Financial Service,106.68,2019,0.6333927320761922
Germany,Allianz,Financial Service,106.68,2020,0.6142460197165673
Germany,Allianz,Financial Service,106.68,2021,0.8412286823004387
Germany,Allianz,Financial Service,106.68,2023,0.2822629487729422
Germany,BASF,Industries,42.93,2014,0.06307193574521743
Germany,BASF,Industries,42.93,2015,0.332045722985677
Germany,BASF,Industries,42.93,2016,0.36629038510332573
Germany,BASF,Industries,42.93,2017,-0.04203214717054686
Germany,BASF,Industries,42.93,2018,0.056305275791717554
Germany,BASF,Industries,42.93,2019,0.6097995879388329
Germany,BASF,Industries,42.93,2020,0.41398665778138577
Germany,BASF,Industries,42.93,2021,-0.005307731518376176
Germany,BASF,Industries,42.93,2022,0.03359322713712734
Germany,BASF,Industries,42.93,2023,0.6643814294232943
Germany,BMW,Industries,55.03,2014,-0.5253498035318936
Germany,BMW,Industries,55.03,2015,-0.5165683139481433
Germany,BMW,Industries,55.03,2016,-0.7925784609224185
Germany,BMW,Industries,55.03,2017,-0.5818651885326108
Germany,BMW,Industries,55.03,2018,-0.7967440653954962
Germany,BMW,Industries,55.03,2019,-0.25362814942975603
Germany,BMW,Industries,55.03,2020,-0.6048905066212334
Germany,BMW,Industries,55.03,2021,-0.18708871856177217
Germany,BMW,Industries,55.03,2022,-0.275456069821659
Germany,BMW,Industries,55.03,2023,-0.3523045386567658
Germany,Beiersdorf,Consumer Staples,32.13,2014,-0.230885494468092
Germany,Beiersdorf,Consumer Staples,32.13,2015,-0.3824467418764007
Germany,Beiersdorf,Consumer Staples,32.13,2016,-0.7928858508686443
Germany,Beiersdorf,Consumer Staples,32.13,2017,-1.039170481534412
Germany,Beiersdorf,Consumer Staples,32.13,2019,-0.988867009427128
Germany,Beiersdorf,Consumer Staples,32.13,2020,-0.6215567577105683
Germany,Beiersdorf,Consumer Staples,32.13,2021,-0.7738731380109736
Germany,Beiersdorf,Consumer Staples,32.13,2022,-0.4532260889588195
Germany,Beiersdorf,Consumer Staples,32.13,2023,-1.0921396301352675
Germany,DHL Group,Industries,49.82,2014,0.01638493716111531
Germany,DHL Group,Industries,49.82,2015,0.8219538482916892
Germany,DHL Group,Industries,49.82,2017,0.08642339313556137
Germany,DHL Group,Industries,49.82,2018,-0.013532074159225638
Germany,DHL Group,Industries,49.82,2019,0.6640370796828402
Germany,DHL Group,Industries,49.82,2020,0.6447149587682958
Germany,DHL Group,Industries,49.82,2021,-1.082875170147608
Germany,DHL Group,Industries,49.82,2022,0.270385538721408
Germany,DHL Group,Industries,49.82,2023,0.08625805098466317
Germany,Deutsche Börse,Financial Service,41.91,2015,0.015776773577452538
Germany,Deutsche Börse,Financial Service,41.91,2017,0.38970192039505935
Germany,Deutsche Börse,Financial Service,41.91,2018,0.12781440718234624
Germany,Deutsche Börse,Financial Service,41.91,2019,0.0384105078207788
Germany,Deutsche Börse,Financial Service,41.91,2020,0.3841064293315121
Germany,Deutsche Börse,Financial Service,41.91,2021,0.04358337883019636
Germany,Deutsche Börse,Financial Service,41.91,2023,-0.27397492316790234
Germany,Hannover Rück,Financial Service,33.67,2014,0.7640382628347897
Germany,Hannover Rück,Financial Service,33.67,2015,0.2691691396134635
Germany,Hannover Rück,Financial Service,33.67,2017,0.8988126844896042
Germany,Hannover Rück,Financial Service,33.67,2019,0.7858129461232475
Germany,Hannover Rück,Financial Service,33.67,2020,0.21580472713249704
Germany,Hannover Rück,Financial Service,33.67,2022,0.9240475498809116
Germany,Hannover Rück,Financial Service,33.67,2023,0.9647094792551218
Germany,Henkel,Consumer Staples,35.64,2014,-0.12118869758580633
Germany,Henkel,Consumer Staples,35.64,2015,0.28893646475715357
Germany,Henkel,Consumer Staples,35.64,2017,-0.39189008549608895
Germany,Henkel,Consumer Staples,35.64,2018,1.3888790709052434
Germany,Henkel,Consumer Staples,35.64,2019,0.13305745393542776
Germany,Henkel,Consumer Staples,35.64,2020,-0.2660622949136632
Germany,Henkel,Consumer Staples,35.64,2021,-0.3454977955510189
Germany,Henkel,Consumer Staples,35.64,2023,-0.2539322415501617
Germany,Infineon,Industries,41.66,2014,0.06715383277785218
Germany,Infineon,Industries,41.66,2015,0.33007375660367055
Germany,Infineon,Industries,41.66,2016,-0.107553712635705
Germany,Infineon,Industries,41.66,2017,0.1824391061154219
